id,O3_anual_f
"4371",33.085381
"1722",36.712090
"5794",38.692029
"6945",38.692029
"5963",33.043233
"3879",38.692029
"3211",36.712090
"7090",33.051431
"6513",33.085381
"4383",33.043233
"4296",33.085381
"3632",33.898148
"3756",36.712090
"8983",36.426409
"5167",36.426409
"606",33.898148
"2128",36.644627
"5644",32.253652
"6308",33.043233
"9119",33.043233
"511",33.043233
"9714",33.043233
"9555",33.043233
"2648",36.712090
"2349",36.712090
"8231",35.046181
"3221",36.712090
"4629",33.051431
"5057",35.524991
"6709",33.051431
"6030",33.043233
"450",34.230534
"5216",35.046181
"2854",38.692029
"8129",38.692029
"456",33.043233
"1535",32.253652
"2919",33.257534
"9632",38.692029
"6995",36.712090
"6147",32.253652
"9191",33.257534
"8205",32.612211
"9443",38.692029
"9394",36.426409
"2976",36.712090
"5204",36.712090
"2464",36.712090
"6804",34.720879
"1362",36.426409
"9055",34.720879
"4561",38.692029
"4733",38.692029
"9259",36.302130
"2723",38.692029
"3037",34.512877
"6171",32.253652
"5490",32.253652
"5901",36.712090
"3240",36.712090
"449",36.712090
"8730",35.404354
"4222",33.043233
"7014",36.712090
"9697",33.257534
"3044",32.540101
"3461",33.542256
"9149",33.542256
"2963",35.289115
"9142",36.712090
"1648",36.712090
"9871",36.336650
"3902",33.898148
"689",37.658993
"3333",36.336650
"4009",33.043233
"5964",37.658993
"598",33.043233
"1174",33.043233
"270",32.253652
"4768",30.970745
"3429",32.108985
"2733",32.108985
"3496",31.017220
"1857",36.712090
"1267",36.336650
"8726",32.583529
"4730",32.253652
"5191",32.540101
"3525",37.658993
"7157",31.017220
"7561",37.658993
"851",32.583529
"4006",36.712090
"6192",36.712090
"70",36.712090
"1806",36.712090
"1565",36.712090
"6549",32.253652
"5806",32.540101
"3561",32.221635
"187",37.658993
"2941",32.540101
"809",32.205612
"9091",32.221635
"7419",32.221635
"2669",36.712090
"1837",36.336650
"4027",36.712090
"8051",33.199697
"416",37.697618
"6647",31.017220
"4205",31.017220
"3307",33.898148
"5194",35.404354
"2232",30.970745
"3005",30.085202
"890",32.540101
"5123",32.540101
"6054",30.970745
"82",32.583529
"5250",32.583529
"2150",30.970745
"8330",32.583529
"3963",36.712090
"2692",36.712090
"1959",30.970745
"5470",36.712090
"1340",32.205612
"2475",37.658993
"6905",32.788419
"7978",31.017220
"8971",30.970745
"9420",30.970745
"6963",30.970745
"7297",37.658993
"8452",31.803373
"8052",30.970745
"8449",32.583529
"7495",32.583529
"9659",32.583529
"2922",32.540101
"8262",33.199697
"9559",32.540101
"4814",36.712090
"8290",36.712090
"4773",30.970745
"8874",30.970745
"4483",30.970745
"835",36.336650
"7630",36.712090
"2572",29.631005
"199",30.911966
"3118",32.583529
"3490",32.583529
"9800",32.540101
"2958",30.085202
"9674",30.970745
"7019",30.970745
"9405",32.583529
"6879",36.712090
"4823",32.221635
"2158",36.712090
"4989",36.712090
"4482",30.970745
"9695",30.970745
"4375",30.911966
"7885",36.712090
"2113",36.712090
"9899",32.221635
"5447",33.898148
"4782",36.712090
"3934",30.970745
"2277",32.540101
"6305",36.712090
"2086",36.336650
"7562",36.712090
"156",30.970745
"1360",32.205612
"7684",35.202863
"131",37.697618
"564",30.750639
"247",32.540101
"2952",30.970745
"3532",35.202863
"1379",32.583529
"9096",35.202863
"1067",30.085202
"4906",30.236828
"3882",32.221635
"6784",32.221635
"3352",35.202863
"7314",36.862246
"4641",30.085202
"4471",30.085202
"2908",32.583529
"5655",30.911966
"5454",35.202863
"9543",32.540101
"581",35.202863
"4842",35.202863
"188",32.540101
"9108",32.221635
"1953",30.970745
"3097",33.199697
"4583",30.970745
"9438",32.788419
"9324",33.199697
"2625",32.540101
"7124",35.667708
"7298",32.583529
"1164",32.540101
"8892",37.697618
"7971",31.063858
"520",30.083696
"4855",35.667708
"5107",32.583529
"8319",35.202863
"5565",35.080701
"1032",32.583529
"2855",30.750639
"6834",33.199697
"8831",35.667708
"2020",30.486541
"3182",32.583529
"7025",32.959955
"9607",32.540101
"8974",35.667708
"214",35.202863
"968",35.805230
"28",35.202863
"7785",32.959955
"6045",35.667708
"4918",32.583529
"232",35.202863
"8459",35.667708
"5319",30.970745
"6097",33.158046
"3975",36.642561
"3636",35.667708
"7497",31.063858
"7161",30.083696
"3246",30.083696
"4791",35.667708
"2046",32.583529
"5951",35.667708
"904",32.540101
"6014",33.199697
"3734",32.583529
"1348",32.959955
"3812",32.959955
"6710",35.202863
"513",35.202863
"5153",36.642561
"941",32.540101
"3520",30.970745
"7851",30.085202
"1523",30.486541
"6683",30.720021
"1229",30.083696
"4745",32.540101
"8767",32.583529
"7573",32.583529
"4501",34.523609
"2242",30.085202
"8578",34.523609
"7217",29.631005
"7903",32.540101
"5841",32.959955
"1527",35.667708
"2863",35.667708
"7295",32.284448
"5284",32.540101
"3383",31.063858
"7508",32.540101
"7570",34.437489
"6888",30.720021
"5482",30.083696
"2639",30.486541
"3729",32.540101
"4673",32.959955
"6321",32.540101
"1560",32.017563
"2934",35.667708
"9172",35.667708
"2047",31.727089
"7460",32.540101
"4661",32.540101
"8233",30.083696
"7680",35.202863
"5999",32.959955
"7828",32.102557
"4247",32.959955
"2737",32.583529
"3203",30.279761
"3671",30.214812
"8617",32.540101
"1808",30.083696
"3957",30.083696
"4404",31.727089
"8498",35.202863
"8895",30.174620
"5602",34.523609
"7507",35.667708
"2224",32.959955
"9244",29.782897
"7616",32.284448
"2155",29.782897
"2040",30.720021
"7342",30.083696
"945",30.720021
"6052",30.720021
"5375",34.523609
"9007",32.017563
"7310",31.727089
"1337",32.959955
"1473",32.017563
"7146",34.924006
"2276",34.924006
"693",30.214812
"4217",32.540101
"7910",30.720021
"2017",30.720021
"6751",32.284448
"4563",32.284448
"2870",35.667708
"4276",30.486541
"8495",32.540101
