id_station,anio,CO,NO,NO2,NOX,O3,PM10,PM2.5,PMCO,SO2,TMP,UVA,WSP,dia,hora,mes
CAM,2017,0.6907886435331273,23.067733222522335,32.59817161853314,55.70496571784749,33.450413223140494,57.577755153983205,26.9666581827437,30.60829727666073,6.0623520126282555,,,,15.973829201101928,13.618063754427391,5.667060212514758
CCA,2014,0.7768958185683922,17.859020310633213,27.575866188769414,45.42532855436081,28.76637168141593,,16.49737631184408,,3.597660404112017,,,,15.849911504424778,13.576637168141593,10.019823008849558
CCA,2015,0.7587552252670725,16.53293316028553,27.99042829331603,44.52368591823491,33.393658159319415,,18.890143084260732,,3.882289249806651,,,,15.495127610208817,13.566589327146172,6.477030162412993
CCA,2016,0.7220664087685381,13.432197110040756,27.201370878103003,40.62912189699889,37.371531025880884,,17.876535433070867,,3.894140188408111,,,,15.863111942625507,13.58762082943561,6.374649204864359
CCA,2017,0.5904102475333275,12.098541584548679,25.566219944816712,37.660228616476154,39.385465216640775,,19.57259634098871,,3.8888311688311687,,,,15.442085275332298,13.611082340756084,5.971344726393924
CHO,2013,,21.94232105628909,18.75938151494093,40.70013898540653,30.936261843238587,58.21222653854018,,,2.9566546262850792,16.978846153846156,,2.3098769710622045,15.61584840654608,13.481481481481481,7.0885443583118
CHO,2014,,,,,31.61790944285474,54.950651607298,,,2.8537420791231374,17.58950495049501,,2.188576779026214,15.273354654098636,13.487964989059082,6.899343544857768
CHO,2015,0.7325613079019093,,,,32.89065943380234,51.61502183406114,,,2.2503842869342443,17.457329931972826,,2.13289675114816,16.032886929988134,13.560773012374979,6.955755212747923
CHO,2016,0.7231539044730861,,,,36.06904906117504,53.589024009978175,,,2.401561144839549,17.16784222737817,0.45603649303452465,1.94898685228152,15.885372501514233,13.587825560266506,6.496365838885524
CHO,2017,0.6228020419739129,,,,37.04551700446582,60.28239202657807,,,2.196551724137931,17.644285714285697,0.953895912057713,1.8648386527949234,15.964101683270354,13.599965647543799,5.903641360357265
COY,2013,,22.953079627082378,30.99220541036222,53.91716338071221,30.632797234330376,,27.225279171386955,,,,,,15.851194949646777,13.476176161130317,6.460694423568315
COY,2014,,22.986836518046708,30.96963906581741,53.94883227176221,31.022355219151557,,25.60575696848242,,,,,,15.782432670304523,13.54620665375814,6.174969195564161
COY,2015,,18.481576692373608,30.574121679520136,49.04948586118252,32.641281255107046,,28.63286219081272,,,,,,15.713842131067167,13.583755515607125,6.43896061447949
COY,2016,,18.10788064269319,29.514766641162968,47.621270084162205,36.22912238080777,,25.612779060816013,,,,,,15.774369875493472,13.600212572122684,6.4913452778621314
COY,2017,,13.04885772449672,26.85274824700294,39.89120108572721,41.44202116173613,,25.43691692581075,,,,,,14.954869358669834,13.61498596415461,4.752969121140143
CUA,2013,0.7360427978281678,13.123400221203982,22.57086427555696,35.69552851951335,36.52612527541706,35.620165745856355,,,4.97530082330589,15.176351351351332,,2.240644846116277,16.137236386528173,13.675637393767705,6.427762039660057
CUA,2014,0.670109416445627,13.376368375325804,23.36802780191138,36.74022589052998,36.880289807343985,34.25964149918523,,,3.98534255599473,15.275670173057396,,2.136025161509697,15.522970525275811,13.641528075086448,6.356331302486415
