id,lat,lon,name,cvegeo,pob_2010,imu2010,gmu2010
159,19.407517,-99.155373,159 HUATABAMPO-EJE 1 PTE. AV. CUAUHTÉMOC,090150001138A,630,-1.145549058539170,Muy bajo
151,19.410529,-99.160873,151 CAMPECHE-TONALÁ,0901500011375,3332,-1.041403421931800,Muy bajo
32,19.422705,-99.169922,32 LONDRES-SEVILLA,0901500010983,1432,-1.159033280141640,Muy bajo
176,19.442689,-99.152286,176 AV. JESÜS GARCÏA-LUIS DONALDO COLOSIO,090150001049A,1477,-0.621398750307043,Medio
264,19.440985,-99.152935,264 HÉROES FERROCARRILEROS-AV. CENTRAL,090150001049A,1477,-0.621398750307043,Medio
265,19.440839,-99.152265,265 HÉROES FERROCARRILEROS-JESÚS GARCIA,090150001049A,1477,-0.621398750307043,Medio
266,19.444031,-99.152187,266 AV. JESÚS GARCIA-CARLOS J. MENESES ,090150001049A,1477,-0.621398750307043,Medio
267,19.443735,-99.152203,267 AV. JESÜS GARCÏA-CARLOS J. MENESES,090150001049A,1477,-0.621398750307043,Medio
268,19.442467,-99.151658,268 LUIS DONALDO COLOSIO-AV.JESÚS GARCÍA ,090150001049A,1477,-0.621398750307043,Medio
269,19.442448,-99.151586,269 LUIS DONALDO COLOSIO-ALDAMA ,090150001049A,1477,-0.621398750307043,Medio
271,19.443928,-99.152525,271 AV. CENTRAL-J. MENESES ,090150001049A,1477,-0.621398750307043,Medio
272,19.443556,-99.152556,272 AV. CENTRAL-J. MENESES ,090150001049A,1477,-0.621398750307043,Medio
273,19.442707,-99.152956,273 LUIS DONALDO COLOSIO-AV. CENTRAL,090150001049A,1477,-0.621398750307043,Medio
274,19.442772,-99.153289,274 LUIS DONALDO COLOSIO-AV INSURGENTES NORTE ,090150001049A,1477,-0.621398750307043,Medio
275,19.441062,-99.153164,275 HÉROES FERROCARRILEROS-AV. INSURGENTES NORTE,090150001049A,1477,-0.621398750307043,Medio
56,19.416959,-99.165702,56 ALVARO OBREGON-MEDELLIN,090150001120A,2212,-1.226768818199620,Muy bajo
59,19.415121,-99.166661,59 POPOCATEPETL-AMSTERDAM,090150001120A,2212,-1.226768818199620,Muy bajo
64,19.412877,-99.166986,64 SONORA-AMSTERDAM,090150001120A,2212,-1.226768818199620,Muy bajo
47,19.419515,-99.166299,47 GLORIETA CIBELES-OAXACA,0901500011093,1253,-1.024057926128780,Muy bajo
51,19.417995,-99.168248,51 COLIMA-OAXACA,0901500011093,1253,-1.024057926128780,Muy bajo
39,19.421759,-99.16694,39 PUEBLA-MEDELLÍN,0901500010998,3040,-0.788140442242280,Bajo
40,19.42223,-99.164297,40 OAXACA-PUEBLA,0901500010998,3040,-0.788140442242280,Bajo
42,19.420472,-99.168238,42 SINALOA-VALLADOLID,0901500010998,3040,-0.788140442242280,Bajo
46,19.419214,-99.169732,46 DURANGO-SALAMANCA,0901500010998,3040,-0.788140442242280,Bajo
18,19.42888,-99.164176,18 REFORMA-RIO RHIN,0901500010837,807,-1.410804570127490,Muy bajo
19,19.429241,-99.163377,19 REFORMA-RIO RHIN,0901500010837,807,-1.410804570127490,Muy bajo
20,19.430964,-99.160206,20 REFORMA-RIO TAMESIS,0901500010837,807,-1.410804570127490,Muy bajo
85,19.43425,-99.162508,85 ROSAS MORENO-SULLIVAN,0901500010682,4065,-1.137351998546470,Muy bajo
174,19.44111,-99.16164,174 JOAQUÍN GARCIA-IGNACIO MANUEL ALTAMIRANO,0901500010682,4065,-1.137351998546470,Muy bajo
255,19.437159,-99.161808,255 JOSE ROSAS MORENO-GUILLERMO PRIETO ,0901500010682,4065,-1.137351998546470,Muy bajo
65,19.436142,-99.139906,65 MARCONI-TACUBA,0901500010752,2274,-0.585351361744706,Medio
92,19.436531,-99.131497,92 SAN ILDEFONSO-REPUBLICA DE ARGENTINA,0901500010752,2274,-0.585351361744706,Medio
93,19.436741,-99.134811,93 PALMA NORTE-REPUBLICA DE CUBA,0901500010752,2274,-0.585351361744706,Medio
62,19.413322,-99.175202,62 FERNANDO MONTES DE OCA-AMATLAN,0901500011322,1488,-1.326335284155660,Muy bajo
146,19.410737,-99.165716,146 COAHUILA-MANZANILLO,0901500011356,3176,-1.112202782320740,Muy bajo
150,19.409965,-99.164292,150 CAMPECHE-MEDELLÍN,0901500011356,3176,-1.112202782320740,Muy bajo
152,19.409098,-99.167181,152 TLACOTALPAN-CAMPECHE,0901500011356,3176,-1.112202782320740,Muy bajo
153,19.407468,-99.165141,153 MANZANILLO-TLAXCALA,0901500011356,3176,-1.112202782320740,Muy bajo
154,19.406683,-99.167962,154 TUXPAN-TLAXCALA,0901500011356,3176,-1.112202782320740,Muy bajo
157,19.406236,-99.166616,157 TEPIC-TLACOTALPAN,0901500011356,3176,-1.112202782320740,Muy bajo
61,19.413742,-99.169525,61 AVENIDA MEXICO-SONORA,0901500011197,1678,-1.210493754530540,Muy bajo
63,19.413681,-99.171531,63 NUEVO LEON- LAREDO,0901500011197,1678,-1.210493754530540,Muy bajo
70,19.411272,-99.169718,70 PARQUE MEXICO-MICHOACAN,0901500011197,1678,-1.210493754530540,Muy bajo
71,19.411423,-99.171351,71 AMSTERDAM-MICHOACAN,0901500011197,1678,-1.210493754530540,Muy bajo
74,19.410343,-99.172831,74 NUEVO LEON-OZULAMA,0901500011197,1678,-1.210493754530540,Muy bajo
142,19.413232,-99.164121,142 SAN LUIS POTOSI-EJE 2 PTE. MONTERREY,0901500011214,2636,-1.088947700293280,Muy bajo
145,19.41286,-99.160661,145 EJE 2 SUR YUCATÁN-CHIAPAS,0901500011214,2636,-1.088947700293280,Muy bajo
147,19.412182,-99.158443,147 COAHUILA-ORIZABA,0901500011214,2636,-1.088947700293280,Muy bajo
156,19.407121,-99.162202,156 TEPIC-AMENALCO,0901500011360,1830,-1.132546390964270,Muy bajo
126,19.422288,-99.162138,126 JALAPA-PUEBLA,0901500011002,2936,-1.011443824052040,Muy bajo
128,19.422148,-99.160645,128 ORIZABA-RIO DE JANEIRO,0901500011002,2936,-1.011443824052040,Muy bajo
129,19.4206,-99.163312,129 TONALÁ-DURANGO,0901500011002,2936,-1.011443824052040,Muy bajo
