ID,Nombre,Dirección,Número,Código po,districtCo,Colonia,altitude,nearbyStat,location/l,location_1,Tipo de es,nearbySt_1,nearbySt_2,nearbySt_3,nearbySt_4,nearbySt_5,punto_geo,CVE_AGEB,CVE_MUN,CVE_LOC,CVE_ENT,MOVEMENT_I,DISPLAY_NA
"389",389 SANTANDER-FELIX CUEVAS,389 - Santander-Felix Cuevas,S/N,"3920",INM,Insurgentes Mixcoac,,"388",19.373528000000000,-99.179355999999999,BIKE,"390","391",,,,"19.373528,-99.179356","0793","014","0001","09","4597",Movement Zone 4597
"418",418 GALICIA-ACTIPAN,418 - Galicia-Actipan,S/N,"3920",INM,Insurgentes Mixcoac,,"388",19.371151999999999,-99.183034000000006,BIKE,"417","419",,,,"19.371152,-99.183034","0793","014","0001","09","4597",Movement Zone 4597
"386",386 POUSSIN-DONATELLO,386 - Poussin-Donatello,S/N,"3920",INM,Insurgentes Mixcoac,,"384",19.374839999999999,-99.185845999999998,BIKE,"385","417",,,,"19.37484,-99.185846","0793","014","0001","09","4597",Movement Zone 4597
"419",419 ACTIPAN-CADIZ,419 - Actipan-Cadiz,S/N,"3920",INM,Insurgentes Mixcoac,,"418",19.370605999999999,-99.181501999999995,BIKE,"420","421",,,,"19.370606,-99.181502","0793","014","0001","09","4597",Movement Zone 4597
"332",332 SUR DE CALLE 27-AVENIDA 3,332 - Sur De Calle 27-Avenida 3,S/N,"3800",SPP,San Pedro de los Pinos,,"330",19.385508000000002,-99.183808999999997,BIKE,"331","333",,,,"19.385508,-99.183809","0365","014","0001","09","4598",Movement Zone 4598
"351",351 CALLE 27-AVENIDA REVOLUCIÓN,351 - Calle 27-Avenida Revolución,S/N,"3800",SPP,San Pedro de los Pinos,,"332",19.385750999999999,-99.186296999999996,BIKE,"352","364",,,,"19.385751,-99.186297","0365","014","0001","09","4598",Movement Zone 4598
"406",406 PARROQUIA AV. MEXICO-COYOACAN,406 - Parroquia Av. Mexico-Coyoacan,S/N,"3310",SCA,Santa Cruz Atoyac,,"402",19.367830999999999,-99.163261000000006,BIKE,"407","411",,,,"19.367831,-99.163261",083A,"014","0001","09","4599",Movement Zone 4599
"401",401 SAN LORENZO-AVENIDA CUAUHTEMOC,401 - San Lorenzo-Avenida Cuauhtemoc,S/N,"3310",SCA,Santa Cruz Atoyac,,"400",19.372146999999998,-99.161580000000001,BIKE,"402","403",,,,"19.372147,-99.16158",083A,"014","0001","09","4599",Movement Zone 4599
"427",427 AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE,427 - Avenida México-Coyoacan-Av. Popocatepetl (Eje,S/N,"3310",SCA,Santa Cruz Atoyac,,"411",19.365023000000001,-99.162993000000000,BIKE,"412","426",,,,"19.365023,-99.162993",083A,"014","0001","09","4599",Movement Zone 4599
"342",342 ANAXÁGORAS-ANGEL URRAZA EJE 6 SUR,342 - Anaxágoras-Angel Urraza Eje 6 Sur,S/N,"3020",NAR,Narvarte Poniente,,"341",19.381076000000000,-99.159454999999994,BIKE,"344","359",,,,"19.381076,-99.159455","0628","014","0001","09","4600",Movement Zone 4600
"341",341 SAN BORJA-AVENIDA CUAUHTEMOC,341 - San Borja-Avenida Cuauhtemoc,S/N,"3020",NAR,Narvarte Poniente,,"340",19.382850999999999,-99.158203999999998,BIKE,"343","364",,,,"19.382851,-99.158204","0420","014","0001","09","4603",Movement Zone 4603
"340",340 ANAXÁGORAS-AVENIDA EUGENIA,340 - Anaxágoras-Avenida Eugenia,S/N,"3020",NAR,Narvarte Poniente,,"339",19.385570999999999,-99.158187999999996,"BIKE,TPV","341","343",,,,"19.385571,-99.158188","0420","014","0001","09","4603",Movement Zone 4603
"339",339 ENRIQUE RÉBSAMEN-AVENIDA EUGENIA,339 - Enrique Rébsamen-Avenida Eugenia,S/N,"3020",NAR,Narvarte Poniente,,"322",19.386032000000000,-99.160548000000006,BIKE,"340","343",,,,"19.386032,-99.160548","0420","014","0001","09","4603",Movement Zone 4603
"333",333 GEORGIA -CAROLINA,333 - Georgia -Carolina,S/N,"3810",NAP,Nápoles,,"330",19.387623999999999,-99.180977999999996,BIKE,"332","349",,,,"19.387624,-99.180978","0191","014","0001","09","4604",Movement Zone 4604
"313",313 PENNSYLVANIA-OKLAHOMA,313 - Pennsylvania-Oklahoma,S/N,"3810","1",Ampliación Granada,,"308",19.391431000000001,-99.178989000000001,BIKE,"309","314",,,,"19.391431,-99.178989","0191","014","0001","09","4604",Movement Zone 4604
"357",357 MATIAS ROMERO -AMORES,357 - Matias Romero -Amores,S/N,"3100",DVC,Del Valle Centro,,"356",19.380597999999999,-99.166924800000004,BIKE,"358","373",,,,"19.380598,-99.1669248","0609","014","0001","09","4606",Movement Zone 4606
"356",356 MATIAS ROMERO -ADOLFO PRIETO,356 - Matias Romero -Adolfo Prieto,S/N,"3100","1",Ampliación Granada,,"355",19.381291999999998,-99.170170999999996,BIKE,"357","372",,,,"19.381292,-99.170171","0609","014","0001","09","4606",Movement Zone 4606
"373",373 PILARES-GABRIEL MANCERA,373 - Pilares-Gabriel Mancera,S/N,"3100",DVC,Del Valle Centro,,"357",19.377967999999999,-99.166663000000000,BIKE,"372","378",,,,"19.377968,-99.166663","0609","014","0001","09","4606",Movement Zone 4606
"374",374 PITÁGORAS-PILARES,374 - Anaxágoras-Pilares,S/N,"3100",DVC,Del Valle Centro,,"359",19.376964000000001,-99.161116000000007,"BIKE,TPV","375","376",,,,"19.376964,-99.161116","0613","014","0001","09","4607",Movement Zone 4607
"360",E360 HERIBERTO FRÍAS-MATIAS ROMERO,360 - Heriberto Frías-Matias Romero,S/N,"3100",DVC,Del Valle Centro,,"300",19.379027900000001,-99.162825900000001,ELECTRIC_BIKE,"358","359","391",,,"19.3790279,-99.1628259","0613","014","0001","09","4607",Movement Zone 4607
"359",359 MATIAS ROMERO -PESTALLOZZI,359 - Matias Romero -Pestallozzi,S/N,"3100",DVC,Del Valle Centro,,"342",19.379269000000001,-99.161169000000001,"BIKE,TPV","360","374",,,,"19.379269,-99.161169","0613","014","0001","09","4607",Movement Zone 4607
"377",377 HERIBERTO FRÍAS-MIGUEL LAURENT,377 - Heriberto Frías-Miguel Laurent,S/N,"3104",DVS,Del Valle Sur,,"373",19.375394000000000,-99.163749999999993,BIKE,"376","400",,,,"19.375394,-99.16375","0613","014","0001","09","4607",Movement Zone 4607
"358",358 NICOLAS SAN JUAN-MATIAS ROMERO,358 - Nicolas San Juan-Matias Romero,S/N,"3100",DVC,Del Valle Centro,,"357",19.380168000000001,-99.164221999999995,BIKE,"360","373",,,,"19.380168,-99.164222","0613","014","0001","09","4607",Movement Zone 4607
"434",E434 JOSE MARÍA OLLOQUI-AMORES,434 - Jose María Olloqui-Amores,S/N,"3104",DVS,Del Valle Sur,,"391",19.363741000000001,-99.171267999999998,ELECTRIC_BIKE,"433","435",,,,"19.363741,-99.171268","0948","014","0001","09","4609",Movement Zone 4609
"439",439 AMORES-AVENIDA COYOACÁN,439 - Amores-Avenida Coyoacán,S/N,"3240",ACA,Acacias,,"433",19.362188889999999,-99.172466670000006,BIKE,"434","438",,,,"19.36218889,-99.17246667","0948","014","0001","09","4609",Movement Zone 4609
"433",433 JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA,433 - Jose María Olloqui-Lopéz Costilla,S/N,"3104",DVS,Del Valle Sur,,"434",19.363558000000001,-99.170818999999995,BIKE,"435","439",,,,"19.363558,-99.170819","0948","014","0001","09","4609",Movement Zone 4609
"409",409 AZORES-DIVISIÓN DEL NORTE,409 - Azores-División Del Norte,S/N,"3310",SCA,Santa Cruz Atoyac,,"408",19.365102000000000,-99.155499000000006,BIKE,"410","430",,,,"19.365102,-99.155499","0844","014","0001","09","4612",Movement Zone 4612
"408",408 PROLONGACIÓN PETÉN-GENERAL EMILIANO ZAPATA,408 - Prolongación Petén-General Emiliano Zapata,S/N,"3320",REE,Residencial Emperadores,,"407",19.366769999999999,-99.156842999999995,BIKE,"409","410",,,,"19.36677,-99.156843","0844","014","0001","09","4612",Movement Zone 4612
