ID,Nombre,Dirección,Número,Código postal,location/lat,location/lon,Tipo de estación,punto_geo,cvegeo
212,212 HEGEL-HORACIO,212 - Hegel-Horacio,S/N,11510,19.433567,-99.188096,"BIKE,TPV","19.433567,-99.188096",0901600010675
211,211 NEWTON-HORACIO,211 - Newton-Horacio,S/N,11510,19.433607,-99.188528,BIKE,"19.433607,-99.188528",0901600010675
205,205 TAINE-HOMERO,205 - Taine-Homero,S/N,11510,19.435525,-99.184713,BIKE,"19.435525,-99.184713",0901600010675
218,218 HEGEL-IBARBOUROU,218 - Hegel-Ibarbourou,S/N,11510,19.432451,-99.188033,BIKE,"19.432451,-99.188033",0901600010675
243,243 MIGUEL DE CERVANTES SAAVEDRA-LAGO FILT,243 - Miguel de Cervantes Saavedra-Lago Filt,S/N,11510,19.440839,-99.196712,BIKE,"19.440839,-99.196712",0901600010552
191,191 GDOR RAFAEL REBOLLAR-GDOR VICENTE EGUIA,191 - Gobernador Rafael Rebollar-Gobernador Vicente Eguia,S/N,,19.4079,-99.18795,BIKE,"19.4079,-99.18795",0901600011160
189,189 GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS,189 - Gobernador Rafael Rebollar-Gobernador José Ceballos,S/N,,19.41004,-99.18798,BIKE,"19.41004,-99.18798",0901600011160
188,188 GDOR MELCHOR MÚZQUIZ-GDOR IGNACIO ESTEVA,188 - Gobernador Melchor Múzquiz-Gobernador Ignacio Esteva,S/N,,19.41171,-99.19014,"BIKE,TPV","19.41171,-99.19014",0901600011160
457,E457 AV. PRADO NORTE-EXPLANADA,457 AV. PRADO NORTE-EXPLANADA,S/N,,19.42703,-99.212845,ELECTRIC_BIKE,"19.42703,-99.212845",0901600010872
456,456 ALPES-MONTES ESCANDINAVOS,456 ALPES-MONTES ESCANDINAVOS,S/N,,19.427517,-99.208412,BIKE,"19.427517,-99.208412",0901600010887
170,170 OBSERVATORIO ORIENTE-REVOLUCIÓN,170 - Observatorio Oriente-Revolución,S/N,,19.404029,-99.184342,BIKE,"19.404029,-99.184342",0901600011175
173,173 MINERÍA-JOSÉ MARTÍ,173 - Minería-Jose Martí,S/N,,19.401682,-99.176398,BIKE,"19.401682,-99.176398",0901600011207
285,285 12 DE OCTUBRE-MINERIA,285 - 12 De Octubre-Mineria,S/N,11800,19.3997946,-99.1775178,BIKE,"19.3997946,-99.1775178",0901600011207
452,452 LEIBNITZ-AV. EJERCITO NACIONAL,452 LEIBNITZ-AV. EJERCITO NACIONAL,S/N,,19.435031,-99.179838,BIKE,"19.435031,-99.179838",0901600010707
190,E190 GDOR IGNACIO ESTEVA-MTRO JOSÉ VASCONCELOS,190 - Gobernador Ignacio Esteva-Maestro José Vasconcelos,S/N,,19.409569,-99.183833,ELECTRIC_BIKE,"19.409569,-99.183833",0901600011029
186,186 GREGORIO V GELATI-FRANCISCO MOLINOS DEL C,186 - Gregorio V. Gelati-Francisco Molinos del C.,S/N,,19.4124291,-99.1885117,BIKE,"19.4124291,-99.1885117",0901600011029
187,187 GENERAL CANO-GOBERNADOR GREGORIO V GELATI,187 - Genral Cano-Gobernador Gregorio V. Gelati,S/N,,19.41123,-99.18551,BIKE,"19.41123,-99.18551",0901600011029
286,286 13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO,286 - 13 De Septiembre-Avenida Patriotismo,S/N,11800,19.399201,-99.179943,BIKE,"19.399201,-99.179943",0901600011211
287,287 13 DE SEPTIEMBRE-PUENTE DE LA MORENA,287 - 13 De Septiembre-Puente De La Morena,S/N,11800,19.398946,-99.183254,BIKE,"19.398946,-99.183254",0901600011211
232,232 TAINE-RUBEN DARÍO,232 - Taine -  Rubén Darío,S/N,,19.42894,-99.185389,BIKE,"19.42894,-99.185389",0901600010783
225,225 PETRARCA-PRESIDENTE MASARYK,225 - Petrarca-Presidente Masaryk,S/N,11510,19.431172,-99.185612,BIKE,"19.431172,-99.185612",0901600010783
224,224 HEGEL-PRESIDENTE MASARYK,224 - Hegel-Presidente Masaryk,S/N,11510,19.431255,-99.188065,BIKE,"19.431255,-99.188065",0901600010783
234,234 TRES PICOS-ARQUÍMIDES,234 - Tres Picos-Arquímides,S/N,,19.42783,-99.191539,BIKE,"19.42783,-99.191539",0901600010783
251,251 GOETHE-DARWIN,251 - Goethe-Darwin,S/N,11510,19.429261,-99.17538,BIKE,"19.429261,-99.17538",0901600010711
252,252 VICTOR HUGO-SHAKESPEARE,252 - Víctor Hugo-Shakespeare,S/N,11510,19.427575,-99.17702,BIKE,"19.427575,-99.17702",0901600010711
229,229 DICKENS-SENECA,229 - Dickens-Seneca,S/N,11510,19.430515,-99.203331,BIKE,"19.430515,-99.203331",0901600010745
235,235 CAMPOS ELISEOS-MOLIERE,235 - Campos Eliseos-Moliere,S/N,,19.42933,-99.20218,BIKE,"19.42933,-99.20218",0901600010745
236,236 CAMPOS ELISEOS-MOLIERE,236 - Campos Eliseos-Moliere,S/N,,19.42944,-99.20243,BIKE,"19.42944,-99.20243",0901600010745
451,451 CAMPOS ELÍSEOS-GOLDSMITH,451 CAMPOS ELÍSEOS-GOLDSMITH,S/N,,19.42902,-99.201322,BIKE,"19.42902,-99.201322",0901600010745
233,233 JULIO VERNE-LUIS G. URBINA,233 - Julio Verne-Luis G. Urbina,S/N,11510,19.429314,-99.196965,"BIKE,TPV","19.429314,-99.196965",090160001075A
228,228 CAMPOS ELÍSEOS-JEAN DE LA FONTAINE,228 - Campos Elíseos-Jean de La fontaine,S/N,11510,19.427705,-99.19912,"BIKE,TPV","19.427705,-99.19912",090160001075A
221,221 EMILIO CASTELAR-PRESIDENTE MASARYK,221 - Emilio Castelar-Presidente Masaryk,S/N,11510,19.431799,-99.201565,"BIKE,TPV","19.431799,-99.201565",090160001075A
230,230 EDGAR ALAN POE-DICKENS,230 - Edgar Alan Poe-Dickens,S/N,11510,19.430098,-99.200074,BIKE,"19.430098,-99.200074",090160001075A
203,203 TENNYSON-AV. HOMERO,203 - Tennyson-Av. Homero,S/N,11510,19.435985,-99.194832,BIKE,"19.435985,-99.194832",0901600010656
210,210 EUGENIO SUE-HORACIO,210 Eugenio Sue-Horacio,S/N,,19.434076,-99.194091,BIKE,"19.434076,-99.194091",0901600010656
204,204 TEMISTOCLES-HOMERO,204 - Temistocles-Homero,S/N,11510,19.435882,-99.19152,BIKE,"19.435882,-99.19152",0901600010656
216,216 ALEJANDRO DUMAS-HORACIO,216 - Alejandro Dumas-Horacio,S/N,11510,19.433419,-99.195746,"BIKE,TPV","19.433419,-99.195746",0901600010656
462,462 PRESA FALCÓN-DANXHÓ,462 PRESA FALCÓN-DANXHÓ,S/N,,19.442338,-99.205198,BIKE,"19.442338,-99.205198",0901600010444
242,242 MIGUEL DE CERVANTES SAAVEDRA-PROL MOLIERE,242 - Miguel de Cervantes Saavedra-Pról. Moliere,S/N,11510,19.440344,-99.20105,BIKE,"19.440344,-99.20105",0901600010444
463,463 LAGO ANDRÓMACO-LAGO ZURICH,463 LAGO ANDRÓMACO-LAGO ZURICH,S/N,,19.442338,-99.202492,BIKE,"19.442338,-99.202492",0901600010444
197,197 MIGUEL DE CERVANTES-FC DE CUERNAVACA,197 - Miguel de Cervantes Saavedra-Ferrocarril de Cuernavaca,S/N,,19.440077,-99.204316,"BIKE,TPV","19.440077,-99.204316",0901600010444
464,E464 MATEO ALEMÁN-PROLONGACIÓN MOLIERE,464 MATEO ALEMÁN-PROLONGACIÓN MOLIERE,S/N,,19.442421,-99.199838,ELECTRIC_BIKE,"19.442421,-99.199838",0901600010459
455,455 PEDREGAL-FERROCARRIL DE CUERNAVACA,455 PEDREGAL-FERROCARRIL DE CUERNAVACA,S/N,,19.426308,-99.203302,BIKE,"19.426308,-99.203302",0901600010995
453,453 PEDREGAL-TEAPA,453 PEDREGAL-TEAPA,S/N,,19.424842,-99.203739,BIKE,"19.424842,-99.203739",0901600010995
454,E454 MONTES URALES-MONTE PELVOUX,454 MONTES URALES-MONTE PELVOUX,S/N,,19.425905,-99.204236,ELECTRIC_BIKE,"19.425905,-99.204236",0901600010995
182,182 PROGRESO-ASTRONOMOS,182 - PROGRESO-ASTRONOMOS,S/N,,19.402089,-99.17139,"BIKE,TPV","19.402089,-99.17139",0901600011226
