CVE_AGEB,text
798," CAMPOS ELÍSEOS-JEAN DE LA FONTAINE, AV. PASEO DE LA REFORMA-CTO MAHATMA GANDHI, CTO MAHATMA GANDHI-AV. PASEO DE LA REFORMA, RUBEN DARIO-REFORMA"
803," REFORMA-HAVRE, REFORMA-VERSALLES, ROMA-DINAMARCA, REFORMA-GENERAL PRIM"
806," PARROQUIA-JOSÉ IGNACIO BARTOLACHE, RECREO-PARROQUÍA, SAN FRANCISCO-PARROQUÍA"
810," RODRIGUEZ SARO-AVENIDA COYOACÁN, AMORES-JOSÉ MARÍA RICO (EJE 8), NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD, MARTÍN MENLALDE-FELIX CUEVAS"
818," 20 DE NOVIEMBRE-VENUSTIANO CARRANZA, JOSE MARIA PINO SUAREZ-CORREGIDORA, REPUBLICA DE SALVADOR-PINO SUAREZ, GANTE-VENUSTIANO CARRANZA"
822," RIO PANUCO-RIO SENA, RIO PANUCO-RIO TIBER"
825," PARROQUIA-AVENIDA MÉXICO-COYOACAN, PARROQUIA-AVENIDA UNIVERSIDAD"
837," REFORMA-RIO TAMESIS, REFORMA-RIO RHIN"
841," MARSELLA-NAPOLES, HAMBURGO-INSURGENTES, LIVERPOOL-DINAMARCA, LONDRES-ROMA, LONDRES-NAPOLES"
844," AZORES-DIVISIÓN DEL NORTE, PROL. XOCHICALCO-GENERAL EMILIANO ZAPATA, PROLONGACIÓN PETÉN-GENERAL EMILIANO ZAPATA, PROLONGACIÓN TAJÍN-PROLONGACIÓN REPÚBLICAS, PIRINEOS-AV. POPOCATEPETL (EJE 8)"
849," MONTES URALES-VOLCÁN, ALPES-MONTES ESCANDINAVOS,E459 VOLCÁN-MONTES URALES"
856," TURÍN-ABRAHAM GONZÁLEZ, GENERAL PRIM-VERSALLES, AV. MORELOS-ABRAHAM GONZALEZ, LUCERNA-ABRAHAM GONZALEZ"
860," EMILIO DONDE-AV. BALDERAS, TOLSA-BALDERAS,E108 TOLSA-BALDERAS"
872,E457 AV. PRADO NORTE-EXPLANADA
875," DR. VALENZUELA-DR. RÍO DE LA LOZA, ERNESTO PUGIBET-LUIS MOYA, DR. ANDRADE - ARCOS DE BELÉN, JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA"
887, ALPES-MONTES ESCANDINAVOS
