CVE_AGEB,text
1356, MANZANILLO-TLAXCALA
1375, CAMPECHE-TONALÁ
1411, CHOAPAN-TAMAULIPAS
1411, BENJAMIN HILL-CARLOS ZETINA
1411, MAZATLAN-ALFONSO REYES
1411, BENJAMIN HILL-TAMAULIPAS
1411, TAMAULIPAS-FRANCISCO MURGUÍA
1426, NUEVO LEON-ALFONSO REYES
1426, BENJAMIN FRANKLIN-OMETUSCO
1426, NUEVO LEÓN-QUINTANA ROO
1430, QUINTANA ROO-VILLA HERMOSA
1464, BAJÍO-EJE 2 PTE. MONTERREY
1464, TEHUANTEPEC-MEDELLÍN
1479, TOLUCA-BAJÍO
1534, CLAUDIO BERNARD-DR. LAVISTA
1534, CLAUDIO BERNARD-DR. LICEAGA
