,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
252435,1411,1375,0,530.11,184.85,509.74,1.29
255680,1175,1375,12,1655.64,591.37,1572.84,1.38
270056,1322,1318,9,338.7,210.0,260.13,2.39
297101,1375,1430,17,343.41,373.92,236.3,2.34
300127,1430,1426,2,184.64,237.59,113.95,2.46
340825,1479,1175,2,738.83,246.78,708.55,1.31
365367,1303,1197,14,807.67,144.84,794.82,1.2
385338,1479,1534,0,793.92,256.73,762.45,1.31
403960,1479,1426,22,980.16,426.4,916.01,1.42
411665,1207,1318,1,681.19,220.78,651.06,1.34
430326,1430,1411,6,813.38,312.95,764.89,1.4
439444,1322,1303,13,1699.5,720.66,1593.71,1.4
474602,1175,1426,3,1627.95,429.0,1578.22,1.28
491811,1375,1426,11,267.39,197.35,243.32,1.46
554696,1160,1175,11,1378.5,168.93,1368.6,1.13
558867,1464,1430,21,1302.4,407.8,1250.17,1.32
588407,1002,1534,11,3805.22,2037.49,3372.79,1.6
633749,1002,1106,21,1646.64,273.1,1624.67,1.18
675252,1303,1211,20,941.17,111.2,934.59,1.13
774295,1464,1430,6,1267.45,357.36,1219.27,1.32
781046,1464,1375,9,1629.57,803.17,1531.99,1.36
793408,1110,1029,9,853.13,334.29,811.39,1.34
800637,1093,1002,4,863.94,300.37,829.31,1.3
104081,1110,1029,11,812.27,187.51,794.17,1.23
118458,1093,1002,6,1005.81,338.26,960.01,1.34
118900,1426,1029,13,2970.25,722.03,2896.9,1.24
165026,1464,1430,0,1156.94,346.44,1114.37,1.3
182509,1464,1375,3,1174.26,249.42,1149.97,1.22
204177,1322,1207,19,732.84,305.79,679.55,1.46
236259,1029,1110,23,1650.83,986.1,1367.92,1.87
288410,1411,1430,2,936.8,653.06,802.1,1.65
295320,1175,1430,14,1985.78,651.29,1894.01,1.35
301035,1411,1375,5,684.3,542.35,574.92,1.66
320667,1303,1322,9,1295.38,347.27,1257.16,1.26
339196,1322,1318,14,339.76,183.65,302.97,1.59
350499,1375,1430,22,299.87,320.53,236.68,1.88
365472,1430,1426,7,202.17,247.11,131.14,2.37
375007,1175,1375,17,2003.73,999.44,1838.53,1.47
378703,1479,1175,7,750.06,286.36,717.98,1.3
385350,1175,1430,20,1628.2,529.99,1554.34,1.34
410653,1175,1375,23,1426.36,524.4,1363.02,1.32
425939,1411,1430,8,1251.75,489.25,1155.64,1.5
443154,1226,1197,4,1084.75,305.5,1038.47,1.35
467650,1479,1175,13,993.94,481.07,915.29,1.47
472731,1411,1375,11,846.36,471.63,776.09,1.46
481405,1430,1426,13,235.48,415.7,135.18,2.49
490027,1322,1318,20,328.07,269.57,278.31,1.68
537496,1322,1197,15,725.29,313.26,663.82,1.53
558516,1479,1375,21,790.08,309.66,744.06,1.39
577180,1197,1303,19,781.27,213.6,757.57,1.27
582395,1479,1430,18,1702.26,1053.4,1439.38,1.77
583174,1375,1175,16,1487.72,487.54,1420.29,1.35
591615,1534,1426,3,17.78,61.88,9.24,2.06
618408,1322,1226,3,407.17,182.95,338.38,2.07
620072,1534,1479,4,740.7,495.32,675.84,1.43
630723,1411,1175,16,745.55,281.88,715.48,1.29
633725,1207,1322,17,646.39,219.24,590.2,1.69
681887,1534,1426,23,26.02,158.02,10.2,2.16
743713,1207,1226,8,1007.0,189.17,990.15,1.2
770419,1534,1464,21,1217.85,309.26,1188.42,1.23
825330,1426,1175,13,1846.52,552.02,1763.42,1.38
841692,1106,1002,8,1367.15,267.6,1347.95,1.17
106159,1175,1430,5,1948.54,823.42,1805.0,1.46
122581,1175,1375,8,1965.19,721.08,1856.85,1.39
134951,1375,1430,13,386.0,538.44,262.7,2.26
157198,1375,1110,1,2375.88,754.59,2286.78,1.29
180431,1322,1318,5,328.5,174.22,273.24,2.01
183293,1303,1322,0,1405.65,473.37,1341.41,1.34
433352,1534,1479,20,864.57,364.35,829.62,1.29
462452,1426,1534,2,28.4,97.4,10.16,2.58
477749,1002,1426,7,2870.0,627.14,2816.39,1.2
485039,1534,1160,23,1678.36,456.11,1627.25,1.27
489297,1322,1226,19,511.03,164.83,480.16,1.46
503166,1110,1106,10,1250.18,166.27,1240.58,1.13
519348,1426,1479,5,731.76,219.74,706.51,1.29
530155,1178,1175,0,644.31,258.79,593.95,1.51
544218,1093,1106,8,381.58,138.5,368.38,1.29
559483,1318,1322,4,349.0,283.34,242.91,2.62
586426,1534,1430,12,121.79,177.71,91.52,1.89
587847,1430,1175,10,1588.5,414.32,1548.43,1.24
589816,1110,1002,5,1891.86,641.55,1784.45,1.41
593346,1426,1375,0,192.01,131.23,175.58,1.42
599042,1175,1178,2,531.21,185.73,501.22,1.42
602390,1534,1375,15,236.95,214.25,205.13,1.59
624398,1106,1093,16,494.37,142.99,478.82,1.27
640877,1226,1322,11,502.17,139.74,483.65,1.31
648526,1207,1303,16,856.93,427.8,786.08,1.49
695464,1322,1207,2,774.67,484.39,669.48,1.66
750024,1029,1110,6,1401.71,392.12,1349.33,1.32
761541,1426,1411,22,678.58,234.57,660.32,1.22
765425,1534,1464,18,1530.85,518.04,1457.72,1.35
808104,1426,1464,3,1399.14,450.81,1333.94,1.35
42036,1375,1002,11,4173.7,2049.96,3763.98,1.55
63296,1207,1226,18,1152.63,455.14,1086.36,1.38
110332,1375,1430,1,256.85,369.16,187.83,1.95
119029,1426,1464,16,1436.42,480.45,1375.74,1.32
138931,1226,1197,1,1059.53,305.18,1018.34,1.32
154324,1175,1430,17,2156.15,989.68,2005.64,1.43
155387,1175,1375,20,1646.77,480.63,1586.6,1.3
168386,1411,1375,8,1066.02,450.07,975.52,1.53
212374,1430,1426,10,241.12,483.19,138.22,2.48
212494,1479,1175,10,764.34,222.84,741.26,1.26
218101,1322,1318,17,346.75,193.17,282.66,2.09
218743,1411,1430,5,815.06,555.33,723.74,1.51
236388,1318,1197,5,726.08,254.25,687.92,1.38
237774,1411,1430,16,1318.15,768.84,1163.91,1.6
248662,1430,1426,21,195.46,237.67,135.06,2.17
287120,1430,1479,2,604.73,206.04,584.6,1.26
317105,1479,1175,21,778.01,306.34,739.48,1.34
318336,1411,1375,19,1060.21,694.99,890.46,1.77
329634,1226,1197,12,1045.0,124.96,1036.64,1.14
344758,1303,1322,23,1217.71,254.19,1193.64,1.22
358552,1534,1479,5,764.33,328.59,717.84,1.41
400210,1207,1322,18,755.23,326.99,695.41,1.49
402289,1411,1175,17,824.16,343.73,776.22,1.39
419302,1322,1226,4,610.57,212.68,577.03,1.39
509700,1029,1002,5,1667.4,609.13,1577.92,1.38
516564,1479,1411,14,123.82,216.07,54.34,3.99
520005,1303,1182,6,996.11,250.44,961.04,1.32
532146,1464,1534,16,1620.52,384.89,1577.56,1.26
554483,1093,1029,13,703.65,292.1,663.28,1.38
613780,1479,1411,22,121.54,280.64,54.13,4.08
614063,1207,1303,1,726.11,575.2,656.82,1.44
634414,1093,1029,21,664.36,255.89,629.04,1.36
642673,1029,1002,13,1764.29,841.45,1658.93,1.36
689917,1175,1426,22,1678.88,435.59,1628.64,1.27
699655,1534,1411,1,630.27,294.98,603.11,1.28
702616,1175,1479,3,872.65,376.33,809.36,1.45
702880,1375,1479,11,668.61,402.52,622.94,1.38
706643,1375,1534,8,229.72,202.56,203.82,1.5
715432,1207,1197,1,92.52,165.06,50.66,2.82
717508,1226,1303,0,1663.33,558.19,1591.69,1.32
733501,1175,1534,0,1498.88,331.42,1469.45,1.21
745538,1303,1318,17,1635.3,283.1,1610.66,1.19
751067,1411,1426,10,1097.74,411.24,1040.47,1.37
790215,1375,1160,14,1787.24,280.13,1767.68,1.16
816510,1534,1426,5,21.33,83.91,9.82,2.22
819495,1375,1175,18,1783.7,737.31,1661.79,1.44
830803,1479,1430,20,1276.86,495.41,1171.34,1.58
834996,1322,1197,17,715.36,445.17,635.79,1.56
848501,1479,1375,23,711.92,332.42,658.66,1.44
7811,1197,1303,21,806.54,296.29,769.42,1.33
58840,1375,1175,19,1541.46,538.1,1466.83,1.35
68843,1534,1426,6,25.05,85.76,11.21,2.47
77279,1479,1430,21,1020.92,350.29,971.54,1.36
127424,1322,1197,18,741.37,308.33,685.6,1.48
145419,1197,1303,22,759.64,244.84,727.42,1.33
162176,1207,1322,0,551.69,187.43,522.38,1.39
168122,1426,1093,12,2762.38,998.79,2614.11,1.37
184297,1110,1093,10,702.75,462.98,645.94,1.43
233990,1318,1226,21,911.27,261.58,872.82,1.35
263908,1197,1318,8,549.63,196.56,488.3,1.78
284887,1197,1318,15,705.38,292.86,630.47,1.73
292102,1426,1093,19,2580.18,739.4,2502.13,1.26
314765,1002,1093,2,844.89,220.19,805.78,1.45
355430,1430,1375,1,143.49,148.53,122.47,1.56
376846,1110,1093,17,782.53,294.71,733.01,1.44
407082,1197,1318,16,799.91,266.87,765.62,1.33
444678,1002,1093,3,871.36,221.05,846.65,1.26
461497,1110,1093,18,890.17,370.56,812.06,1.56
484582,1430,1375,2,140.78,167.27,119.26,1.57
488978,1426,1093,20,2641.75,761.82,2554.14,1.28
534844,1197,1318,22,836.49,363.73,757.93,1.6
537317,1430,1375,8,359.1,328.6,258.85,2.2
562877,1430,1002,15,3483.91,971.36,3368.56,1.29
572919,1002,1093,9,825.93,269.69,797.57,1.28
717106,1197,1322,19,622.62,256.22,583.85,1.4
727976,1002,1029,17,1198.75,208.45,1182.59,1.17
742314,1303,1207,18,890.58,281.03,856.98,1.3
790185,1093,1110,5,796.33,475.9,697.56,1.64
794902,1464,1426,4,1308.17,126.3,1301.97,1.1
810535,1093,1430,17,3131.57,381.01,3108.4,1.13
12635,1110,1017,4,660.0,444.93,574.51,1.6
197373,1479,1375,1,639.73,294.51,593.38,1.43
264135,1002,1534,16,3203.6,1409.47,2950.93,1.48
328013,1375,1093,10,3334.8,874.95,3221.83,1.3
357377,1207,1318,18,894.86,249.04,861.66,1.32
372383,1178,1411,13,1003.72,366.4,946.01,1.4
374580,1479,1534,17,1512.13,773.2,1336.96,1.64
384319,1430,1411,23,599.05,183.72,582.41,1.23
392330,1430,1464,4,960.0,259.5,931.5,1.26
476970,1303,1211,22,1098.67,419.68,1033.26,1.4
491034,1464,1375,11,1490.19,275.03,1465.88,1.2
513397,1464,1430,8,1288.2,407.96,1230.47,1.35
566797,1375,1411,8,961.14,475.0,853.03,1.63
636936,1175,1411,0,915.96,380.85,861.5,1.39
673837,1017,1110,10,1050.22,523.0,930.15,1.63
700260,1093,1017,18,918.89,291.64,870.75,1.4
758313,1430,1029,20,3113.29,516.06,3072.52,1.17
774464,1106,1002,23,1363.67,290.56,1339.19,1.2
20451,1110,1017,10,544.72,227.01,497.04,1.54
52110,1106,1029,11,1146.85,235.83,1126.65,1.2
120035,1029,1093,4,1014.89,674.56,819.14,1.94
133717,1175,1411,5,1015.13,456.46,940.33,1.46
139225,1375,1411,13,658.69,320.33,616.99,1.38
255313,1093,1017,19,1044.67,396.24,971.65,1.47
277108,1017,1110,11,809.7,340.23,745.03,1.5
420663,1430,1464,20,1419.09,630.66,1308.8,1.48
464807,1411,1426,23,778.8,315.47,740.35,1.33
465071,1175,1479,16,963.3,477.97,895.95,1.41
471314,1411,1534,1,674.7,253.54,651.36,1.26
474252,1207,1197,14,110.0,157.71,53.97,3.4
485316,1197,1207,4,50.89,73.28,28.25,2.64
488759,1375,1534,21,282.32,189.39,256.16,1.5
490532,1534,1411,14,916.78,411.87,869.21,1.34
512732,1175,1160,19,1623.16,352.84,1588.82,1.22
513142,1175,1534,13,1953.77,545.18,1887.65,1.29
526738,1411,1479,4,72.96,151.89,28.95,4.0
537065,1318,1303,6,1468.4,206.75,1452.64,1.16
623441,1534,1093,4,2278.13,309.82,2257.26,1.15
661176,1178,1479,17,840.24,262.65,803.35,1.35
740502,1426,1175,14,1854.08,594.82,1779.07,1.31
788659,1106,1002,9,1344.22,227.8,1329.5,1.15
810094,1093,1110,4,580.75,215.72,534.44,1.53
818835,1093,1430,16,3446.67,1004.43,3318.61,1.31
3848,1303,1207,17,1079.33,507.2,986.2,1.5
5041,1002,1029,16,1238.92,326.37,1204.74,1.25
79359,1303,1318,15,1482.22,114.97,1477.54,1.08
85554,1375,1479,9,817.24,348.46,753.96,1.5
124592,1411,1426,8,1190.6,463.74,1108.42,1.46
132175,1175,1426,20,1854.74,484.14,1796.68,1.28
138297,1375,1160,12,1796.0,568.17,1716.32,1.35
152499,1175,1479,1,797.31,317.52,743.83,1.48
153303,1375,1534,6,214.1,166.43,191.63,1.48
181606,1479,1426,14,1360.82,551.18,1287.61,1.37
187329,1303,1197,6,1416.83,507.32,1325.24,1.45
239421,1322,1303,5,1325.36,348.28,1282.08,1.29
289275,1430,1160,21,1639.85,382.42,1605.54,1.22
296026,1430,1534,15,185.14,310.1,110.7,2.41
310264,1375,1029,14,3358.0,781.25,3282.29,1.23
330336,1318,1197,21,826.39,231.57,795.49,1.32
331312,1430,1479,18,934.36,404.33,871.78,1.42
378160,1178,1479,8,848.14,349.48,793.73,1.41
389734,1029,1093,9,769.41,309.82,722.65,1.4
430323,1106,1029,16,1061.88,201.55,1046.5,1.18
493040,1110,1017,15,533.44,294.91,484.52,1.5
531411,1479,1430,8,1235.69,490.25,1143.63,1.48
572932,1479,1375,11,974.6,525.52,890.95,1.48
573951,1375,1175,6,1384.64,494.01,1324.74,1.32
597073,1197,1303,9,820.67,304.93,779.96,1.35
609457,1322,1197,5,672.8,291.78,608.99,1.59
621241,1426,1430,12,159.76,318.54,110.06,1.98
631220,1197,1226,17,896.8,210.24,875.69,1.23
646841,1426,1375,15,259.41,192.74,229.03,1.54
647562,1110,1002,20,1488.93,975.92,1330.94,1.5
654493,1178,1175,15,1220.6,604.18,1079.09,1.74
654614,1017,1089,21,787.63,223.7,761.96,1.28
656525,1175,1178,17,873.4,397.06,816.11,1.41
657565,1411,1178,5,649.26,116.81,636.64,1.23
659840,1318,1322,19,332.14,190.89,274.98,2.0
661848,1093,1106,23,436.53,220.5,407.76,1.4
710548,1093,1534,13,2631.92,665.59,2555.87,1.27
729093,1197,1322,13,646.04,210.94,616.93,1.34
827915,1106,1110,17,936.14,155.72,923.97,1.17
36662,1322,1207,12,719.7,273.98,680.0,1.38
93019,1318,1226,15,681.57,132.37,669.05,1.21
127118,1197,1318,2,633.5,149.86,617.6,1.25
160914,1534,1093,21,2690.47,898.72,2587.71,1.3
183782,1110,1093,4,571.68,269.76,531.61,1.42
245323,1430,1464,23,919.83,304.56,883.23,1.31
437532,1479,1375,2,656.64,375.6,601.67,1.45
482469,1197,1303,0,716.61,221.0,687.71,1.32
560318,1411,1175,8,760.22,212.29,739.79,1.24
618802,1207,1322,9,700.62,189.64,677.11,1.29
630944,1534,1426,15,29.14,109.63,13.04,2.52
706948,1534,1160,0,1492.86,265.14,1471.22,1.18
736214,1534,1426,16,26.2,103.5,12.55,2.38
747609,1411,1175,9,750.68,239.71,727.18,1.26
748595,1207,1322,10,712.0,257.0,671.43,1.4
765382,1534,1426,17,27.16,101.02,12.78,2.41
799114,1207,1322,11,636.81,246.65,598.27,1.41
4837,1411,1175,10,757.42,233.16,733.32,1.27
40940,1197,1207,18,49.64,82.15,27.18,2.57
44398,1318,1303,20,1366.03,256.15,1344.16,1.19
56030,1534,1464,9,1118.39,407.16,1063.68,1.34
72455,1411,1479,18,86.7,150.2,40.96,3.89
97044,1426,1411,13,910.87,280.91,874.64,1.34
112795,1411,1534,15,1270.11,575.48,1172.25,1.47
128162,1002,1303,18,2528.38,589.57,2468.14,1.24
153036,1426,1411,21,744.67,226.95,720.86,1.27
169926,1534,1464,17,1317.74,261.5,1292.21,1.22
174787,1426,1464,2,1341.62,451.76,1290.73,1.29
208758,1411,1534,23,771.0,309.06,733.55,1.33
318504,1534,1464,19,1567.3,581.12,1478.8,1.39
347972,1426,1411,23,687.98,257.48,659.87,1.3
391983,1534,1464,22,1093.78,242.19,1072.44,1.21
466750,1175,1375,9,1810.94,548.46,1736.27,1.33
501208,1175,1430,6,2095.38,1123.23,1869.33,1.57
529650,1375,1430,14,387.18,486.69,263.62,2.33
536449,1303,1322,1,1079.14,291.42,1048.91,1.25
572754,1322,1318,6,347.22,131.06,318.72,1.56
592385,1375,1029,0,2558.43,612.7,2498.8,1.23
592824,1430,1479,4,665.24,397.81,620.08,1.37
606208,1318,1197,7,814.64,427.82,719.36,1.65
623427,1226,1197,14,1012.38,179.32,997.59,1.18
629900,1479,1175,23,727.17,254.0,697.22,1.31
637328,1430,1426,23,197.77,290.61,124.93,2.36
665065,1430,1534,1,153.98,227.27,92.07,2.45
676285,1411,1375,21,691.89,254.53,657.2,1.36
684622,1411,1430,18,1713.25,925.28,1471.88,1.76
703902,1479,1534,14,1340.88,488.43,1272.81,1.36
738812,1430,1464,1,907.8,358.46,866.74,1.31
747103,1430,1411,20,759.5,267.7,729.46,1.3
772107,1178,1411,10,838.47,267.83,780.67,1.63
783257,1207,1318,15,727.27,125.16,716.03,1.2
806015,1110,1002,21,1245.06,211.71,1229.36,1.17
817641,1093,1534,14,3313.88,775.54,3221.89,1.27
825004,1178,1175,16,1043.09,359.12,987.68,1.39
843816,1017,1089,22,818.35,287.56,780.87,1.33
5290,1175,1178,18,854.58,322.68,805.8,1.39
15505,1426,1430,13,162.54,322.29,106.82,2.06
17102,1411,1178,6,665.6,88.31,660.54,1.13
20164,1318,1322,20,446.14,287.34,371.98,1.86
34645,1197,1226,18,982.5,355.02,937.78,1.33
54347,1426,1375,16,239.99,200.81,210.69,1.53
78378,1411,1178,7,854.74,456.28,778.55,1.48
79386,1318,1322,21,442.68,198.29,391.57,1.7
96753,1175,1178,19,847.63,325.28,795.37,1.41
112048,1178,1175,17,1009.3,458.59,821.84,2.52
114113,1197,1226,19,998.0,301.34,957.39,1.33
138321,1110,1002,22,1305.79,448.14,1239.31,1.37
146248,1426,1375,17,232.32,201.96,204.56,1.5
152164,1017,1089,23,635.09,82.73,630.16,1.13
153702,1426,1430,14,158.36,307.73,102.82,2.11
163269,1093,1534,15,4450.83,2028.55,4083.32,1.49
171609,1175,1178,20,756.35,208.2,731.63,1.29
190699,1426,1430,15,141.45,274.52,94.85,2.02
212414,1426,1375,18,233.41,185.41,206.64,1.5
216061,1197,1226,20,1022.53,463.7,892.6,1.85
219268,1411,1178,8,735.4,159.58,718.34,1.24
239997,1093,1534,16,3849.2,1800.1,3530.34,1.48
252848,1178,1175,18,938.82,405.33,865.03,1.5
273673,1110,1002,23,1338.29,596.57,1248.54,1.4
274470,1318,1322,22,405.31,242.07,339.96,1.83
297107,1017,1093,17,1210.29,338.81,1163.03,1.33
380432,1093,1110,19,678.65,540.0,566.43,1.74
389482,1464,1426,18,1634.53,373.34,1594.3,1.25
398860,1106,1110,8,917.67,72.65,914.84,1.08
407575,1197,1322,4,738.13,279.11,684.34,1.48
552786,1197,1322,10,548.77,223.8,509.36,1.48
580093,1106,1110,14,1338.44,283.45,1310.99,1.22
677552,1106,1029,4,1071.56,443.02,1006.63,1.39
818260,1017,1110,20,857.69,416.87,773.64,1.57
1325,1534,1464,1,1021.59,331.91,982.91,1.3
8103,1207,1197,20,108.3,198.25,54.09,3.16
40241,1411,1479,10,60.7,162.98,22.4,3.8
45521,1426,1411,5,707.75,229.36,680.89,1.3
49425,1318,1303,12,1313.09,326.12,1279.23,1.25
55503,1197,1207,10,44.77,64.76,26.05,2.48
55828,1534,1411,20,835.28,404.16,795.86,1.31
59141,1175,1479,22,866.76,339.57,815.96,1.39
60925,1411,1534,7,1006.18,433.68,934.31,1.45
81538,1002,1303,10,2287.17,261.99,2271.72,1.12
86179,1175,1534,19,2130.13,648.11,2041.5,1.33
167881,1106,1110,13,1328.71,203.67,1311.13,1.18
171568,1197,1322,9,522.95,184.18,488.55,1.48
212706,1375,1464,22,1340.11,274.11,1315.71,1.2
250273,1093,1017,11,1098.1,206.73,1076.2,1.23
265511,1017,1110,3,871.82,368.02,790.88,1.58
384872,1093,1017,16,1128.94,390.06,1071.54,1.37
417701,1017,1110,8,831.82,283.11,779.5,1.45
443438,1322,1226,20,682.28,227.38,647.57,1.38
463600,1110,1106,11,1101.33,164.84,1089.87,1.15
474850,1002,1426,8,3274.57,587.29,3224.51,1.19
487825,1534,1479,21,772.74,338.05,746.4,1.25
534911,1426,1534,3,26.64,97.29,9.64,2.5
538439,1426,1479,6,933.43,421.74,862.32,1.46
546580,1029,1093,1,663.48,402.01,599.13,1.49
577362,1110,1017,7,541.04,114.43,527.45,1.27
641768,1106,1029,8,1080.95,243.43,1060.14,1.2
657055,1534,1479,14,936.93,360.94,896.66,1.31
744334,1322,1226,13,611.0,285.39,562.46,1.47
754986,1534,1160,17,1941.0,345.45,1911.49,1.19
761064,1426,1160,2,1581.33,514.34,1517.28,1.31
803493,1110,1093,1,558.09,273.53,521.45,1.39
807854,1534,1093,18,2652.31,823.75,2562.55,1.28
29705,1426,1479,17,932.62,510.78,867.17,1.39
36447,1110,1106,22,1223.25,296.21,1194.47,1.23
43057,1430,1093,22,2647.88,574.99,2592.59,1.22
45750,1426,1160,20,1865.73,363.65,1831.36,1.21
57753,1002,1106,7,2000.25,1236.33,1750.01,1.6
128455,1426,1534,14,39.45,149.45,12.92,2.91
210569,1411,1178,23,706.13,144.5,694.66,1.19
218740,1002,1430,13,2893.57,535.14,2843.19,1.21
318548,1002,1375,17,2538.0,255.15,2525.45,1.1
343809,1426,1110,19,2992.0,289.18,2978.58,1.1
404643,1375,1534,2,186.21,130.61,171.92,1.38
432444,1375,1160,8,1364.75,218.06,1347.58,1.17
446764,1375,1479,5,534.22,181.0,513.28,1.3
449080,1175,1426,16,2173.14,782.37,2058.86,1.37
450830,1411,1426,4,726.02,356.59,684.4,1.34
468881,1175,1160,0,1319.52,347.33,1277.52,1.29
487865,1175,1479,11,994.13,511.25,922.29,1.42
488660,1375,1160,22,1460.64,278.42,1438.16,1.19
493193,1375,1534,16,316.55,217.45,272.37,1.69
504512,1318,1303,1,1529.36,503.14,1460.3,1.34
506271,1175,1534,8,2102.94,633.37,2010.6,1.35
511935,1175,1160,14,1509.85,283.11,1484.85,1.2
531286,1534,1411,9,1242.58,591.03,1121.63,1.57
559051,1375,1479,19,839.02,462.44,752.89,1.56
560171,1207,1197,9,119.33,201.68,46.86,3.97
572049,1411,1426,18,1712.11,956.37,1458.89,1.78
591758,1175,1375,16,1783.21,672.19,1677.2,1.42
593619,1375,1430,21,310.94,321.34,241.09,1.98
603406,1411,1430,1,623.85,190.71,605.68,1.25
604462,1175,1430,13,1960.1,787.7,1843.8,1.39
615165,1322,1318,13,342.57,208.31,288.17,1.88
668009,1479,1175,6,780.29,264.62,747.96,1.31
675886,1411,1375,4,552.76,219.0,523.68,1.35
691045,1430,1426,6,221.67,300.65,141.07,2.37
704374,1479,1175,11,803.44,307.37,766.37,1.33
708094,1175,1430,18,2195.91,698.49,2088.6,1.38
710124,1375,1110,14,3312.5,756.77,3226.91,1.26
710345,1411,1375,9,1020.34,456.92,933.11,1.52
727699,1322,1318,18,323.3,211.42,269.34,1.91
731708,1430,1426,11,286.74,617.3,150.17,2.61
736787,1303,1322,13,1430.83,340.62,1397.07,1.23
748342,1411,1430,6,1022.15,684.43,889.22,1.61
800891,1175,1375,21,1544.9,437.95,1491.4,1.3
805407,1178,1479,2,813.53,183.56,790.91,1.28
820606,1318,1197,15,812.94,278.83,760.99,1.48
681,1430,1479,12,816.24,521.95,765.21,1.35
9114,1430,1534,9,207.52,338.53,120.61,2.59
21051,1226,1197,22,1055.39,234.12,1032.58,1.23
54045,1430,1160,15,1859.15,288.2,1836.22,1.17
73926,1106,1110,22,1318.0,415.94,1258.37,1.35
110714,1197,1322,18,665.75,269.74,605.71,1.66
251886,1110,1017,1,589.73,176.74,563.31,1.37
326904,1106,1029,9,1024.66,155.75,1013.76,1.15
371988,1110,1017,8,549.18,330.26,476.75,1.66
393590,1029,1093,2,696.76,568.83,585.47,1.65
397292,1318,1303,22,1415.41,274.78,1390.25,1.21
414220,1197,1207,20,49.71,73.59,28.31,2.55
439492,1411,1534,17,1457.42,731.23,1288.7,1.64
459676,1426,1411,15,916.78,440.91,855.85,1.39
460361,1534,1464,11,1131.0,198.56,1115.2,1.18
477493,1002,1303,20,2335.43,145.27,2330.89,1.06
500825,1411,1479,20,90.98,138.11,48.15,3.53
513624,1479,1178,1,645.62,178.16,630.03,1.22
529865,1430,1375,19,157.22,186.84,131.24,1.64
556663,1178,1375,9,1568.0,539.32,1494.9,1.34
590374,1534,1175,1,1361.03,255.97,1340.08,1.19
610706,1002,1093,20,1110.51,394.43,1051.35,1.38
689880,1318,1207,16,817.92,299.35,748.97,1.65
713507,1479,1426,2,824.23,349.16,774.49,1.39
719276,1226,1207,23,1288.0,898.73,1111.66,1.62
753794,1207,1318,16,857.05,265.32,827.13,1.29
792506,1178,1411,11,834.77,231.44,806.56,1.29
796651,1430,1464,2,859.22,285.25,819.24,1.38
806489,1479,1534,15,1438.74,664.12,1319.64,1.49
808139,1430,1411,21,677.83,266.23,653.98,1.26
848055,1303,1211,0,1093.18,409.97,1026.46,1.41
9982,1322,1207,5,706.42,279.45,654.56,1.48
49325,1207,1303,19,803.4,250.84,771.96,1.31
105052,1464,1430,3,995.9,261.88,965.03,1.28
111096,1464,1375,6,1582.57,483.74,1513.99,1.34
169550,1303,1211,17,907.17,77.29,903.94,1.09
184948,1322,1207,22,701.88,347.42,640.37,1.5
230466,1534,1093,10,2777.83,829.08,2672.75,1.31
254457,1178,1534,20,2192.0,632.13,2115.5,1.29
278099,1178,1479,23,967.08,380.19,887.99,1.59
336412,1322,1207,16,694.54,251.9,655.21,1.4
355387,1464,1375,0,1275.0,206.68,1257.5,1.18
454454,1375,1002,21,3299.11,982.98,3169.3,1.32
482792,1175,1430,3,1670.68,796.07,1538.91,1.46
502791,1322,1318,3,251.63,167.66,200.67,2.1
503827,1175,1375,6,1657.49,471.22,1599.92,1.3
522231,1375,1430,11,417.2,659.93,284.2,2.13
597682,1175,1375,7,1845.39,792.55,1731.8,1.4
599694,1175,1430,4,1894.58,713.18,1785.0,1.39
626123,1322,1318,4,198.05,111.23,159.32,2.19
627104,1375,1430,12,416.12,601.85,294.35,2.1
633936,1375,1110,0,2385.71,519.74,2336.52,1.22
669755,1479,1375,10,1046.8,486.52,958.32,1.51
677584,1197,1303,8,802.84,295.78,768.14,1.31
709081,1322,1197,4,640.57,344.66,573.97,1.56
723455,1375,1175,5,1352.9,423.36,1302.48,1.3
723916,1479,1430,7,1327.74,592.21,1206.42,1.55
786698,1426,1479,7,1118.04,674.46,960.08,1.7
823624,1322,1226,21,584.97,178.68,559.83,1.34
824122,1110,1106,12,1088.0,126.37,1080.88,1.12
827902,1534,1479,22,712.01,222.88,694.22,1.22
837295,1002,1426,9,2724.0,678.51,2648.05,1.26
13279,1426,1534,4,21.7,83.68,8.86,2.24
32303,1426,1375,23,208.0,236.3,182.13,1.47
59932,1178,1175,23,724.34,375.56,620.89,2.06
73477,1002,1375,6,2892.68,593.79,2834.57,1.22
85548,1426,1430,20,124.45,206.78,90.18,1.88
105595,1411,1178,13,784.79,192.71,765.98,1.23
120327,1093,1534,21,2411.17,242.27,2399.29,1.1
148798,1375,1479,13,672.61,268.38,637.34,1.35
165323,1411,1426,12,1136.16,428.97,1078.3,1.36
169066,1375,1534,10,251.52,260.0,221.87,1.49
171100,1207,1197,3,88.12,144.58,44.78,3.13
199473,1175,1479,5,875.07,360.11,807.05,1.51
210345,1375,1160,16,1832.76,445.44,1790.67,1.23
222664,1175,1534,2,1547.52,369.73,1509.01,1.24
224336,1303,1318,19,1396.15,177.13,1384.29,1.14
225635,1534,1411,3,684.64,309.76,644.28,1.36
324157,1375,1464,10,1377.06,244.47,1356.2,1.19
