,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
228300,1226,1197,15,1026.59,213.42,1005.26,1.23
259863,1178,1479,22,892.06,435.05,827.16,1.43
341022,1534,1175,19,1637.49,406.26,1598.43,1.23
355027,1479,1178,19,736.77,276.86,702.75,1.33
432398,1426,1175,4,1650.95,715.32,1541.88,1.41
511913,1106,1002,16,1381.4,198.26,1368.28,1.15
538875,1426,1175,21,1439.52,249.41,1421.65,1.16
649819,1106,1002,19,1390.98,239.36,1373.09,1.17
685629,1110,1106,14,1470.19,396.66,1421.07,1.29
706755,1426,1479,9,1229.48,577.54,1110.11,1.57
732320,1322,1226,23,514.75,229.47,477.91,1.45
752617,1426,1534,6,39.39,100.63,17.44,2.89
779299,1430,1093,14,2389.06,460.2,2347.35,1.2
794673,1110,1106,16,1233.5,310.08,1198.17,1.27
29572,1426,1534,8,66.42,104.09,37.03,3.12
34106,1426,1479,11,899.97,309.78,861.33,1.32
39185,1430,1093,16,2480.23,611.43,2423.0,1.23
39328,1534,1534,23,674.37,1050.83,141.84,8.42
81916,1110,1106,17,1322.09,266.15,1300.36,1.19
115258,1426,1479,12,937.5,336.64,891.89,1.39
127349,1426,1534,9,49.23,108.78,23.55,3.17
128294,1430,1093,17,2588.03,728.51,2505.84,1.27
138846,1426,1160,15,1798.33,208.08,1785.69,1.13
188063,1029,1106,11,1162.83,411.06,1113.43,1.31
188820,1426,1029,18,3591.94,1113.3,3440.17,1.33
198602,1093,1375,4,2549.07,557.32,2488.72,1.24
208056,1093,1002,11,858.29,262.07,831.01,1.27
244151,1002,1029,1,1071.29,101.41,1066.56,1.1
250277,1303,1207,2,1021.89,380.38,954.32,1.45
253325,1110,1029,16,903.31,260.97,869.57,1.31
286886,1029,1106,12,1191.07,502.33,1004.18,2.14
338463,1110,1029,17,833.73,321.39,792.9,1.34
359998,1426,1029,19,3394.8,897.09,3288.1,1.28
365854,1093,1002,12,858.89,347.99,822.96,1.3
372035,1093,1375,5,2819.99,1103.47,2673.98,1.35
375337,1303,1207,3,937.22,530.31,604.87,3.83
389359,1426,1029,20,3329.76,777.41,3247.66,1.24
389474,1093,1375,6,3230.39,918.64,3117.67,1.3
394190,1303,1207,4,1157.5,415.0,1073.96,1.5
408072,1110,1029,18,817.53,242.02,785.58,1.32
412821,1029,1106,13,1181.97,339.23,1142.16,1.29
432161,1093,1002,13,873.8,256.68,843.5,1.29
498992,1464,1426,19,1388.92,275.4,1365.22,1.2
553843,1093,1110,20,791.16,574.14,650.21,1.83
561503,1017,1093,18,1326.47,455.16,1249.02,1.42
625118,1464,1426,21,1347.46,196.77,1334.23,1.15
635099,1093,1110,22,853.91,900.62,665.49,1.86
693189,1017,1093,20,1440.94,455.1,1375.72,1.35
751768,1017,1093,21,1367.0,414.68,1310.11,1.34
774380,1093,1110,23,783.65,741.31,624.88,1.81
796880,1464,1426,22,1368.7,232.77,1350.22,1.18
802886,1464,1534,0,1241.5,131.68,1234.41,1.11
846937,1464,1430,5,1067.27,305.57,1032.08,1.28
2420,1303,1211,19,896.71,121.08,889.38,1.13
52107,1464,1375,8,1707.69,520.45,1628.68,1.36
93907,1175,1411,2,928.11,353.74,876.45,1.39
144650,1375,1411,10,711.24,350.64,657.88,1.44
227066,1175,1411,17,906.08,401.18,853.31,1.38
278883,1375,1464,6,1304.18,473.97,1237.85,1.36
407976,1017,1110,0,807.14,347.2,727.93,1.6
414873,1375,1464,19,1687.17,565.0,1603.6,1.37
451042,1093,1017,12,1064.78,354.7,1011.89,1.37
489988,1375,1464,23,1213.15,267.54,1188.74,1.21
509202,1017,1110,4,1125.2,402.68,1050.26,1.46
553362,1303,1211,1,864.67,304.85,818.99,1.37
570230,1207,1303,20,856.61,349.58,805.31,1.39
628970,1029,1110,10,1197.0,307.79,1151.65,1.34
636291,1322,1207,6,689.85,320.3,637.64,1.46
647807,1464,1375,2,1480.0,264.14,1457.82,1.19
730979,1322,1207,18,761.4,310.38,706.2,1.47
767853,1093,1017,14,1084.13,238.69,1059.41,1.24
804694,1017,1110,6,876.54,386.06,804.26,1.5
24471,1110,1106,2,918.5,177.65,903.68,1.19
53459,1322,1226,11,536.44,165.49,516.99,1.29
84595,1534,1160,15,1937.86,307.59,1912.83,1.18
87522,1426,1160,0,1595.91,394.27,1555.43,1.24
101090,1534,1479,12,878.52,315.55,841.83,1.31
130215,1479,1426,20,1279.7,518.6,1195.94,1.43
144521,1303,1197,12,803.56,178.59,783.72,1.25
168581,1430,1411,4,633.08,380.09,587.21,1.38
251772,1093,1426,4,2392.0,519.79,2336.29,1.24
255294,1106,1093,0,455.15,261.26,425.01,1.39
283460,1002,1534,20,2289.33,492.9,2245.15,1.21
389612,1464,1534,20,1749.24,460.6,1694.87,1.28
402402,1029,1002,9,1543.43,537.8,1475.94,1.32
403434,1479,1411,18,108.59,151.64,50.01,3.93
433679,1093,1029,17,598.65,207.16,572.41,1.33
461958,1479,1175,1,742.28,266.27,707.56,1.34
465524,1303,1322,3,1096.5,218.67,1076.7,1.21
529030,1175,1430,8,2211.56,1067.48,2048.98,1.43
550851,1322,1318,8,298.26,174.58,223.39,2.94
556642,1375,1430,16,347.98,408.04,244.72,2.26
561482,1175,1375,11,1666.97,655.07,1586.39,1.33
565630,1430,1426,1,176.25,241.95,107.94,2.43
598771,1534,1093,11,4027.22,1367.29,3804.2,1.4
709028,1110,1017,21,606.79,315.19,536.9,1.63
750774,1106,1029,22,981.09,187.34,966.99,1.18
772459,1029,1093,15,856.59,377.62,796.8,1.43
817479,1093,1002,3,845.12,282.81,813.88,1.29
